 caldt      prtnam        totret
19970331      10       -0.049875
19970430      10       -0.041677
19970530      10        0.091964
19970630      10        0.046301
19970731      10        0.050122
19970829      10        0.044348
19970930      10        0.100175
19971031      10       -0.021383
19971128      10       -0.025167
19971231      10       -0.026117
19980130      10        0.009948
19980227      10        0.055418
19980331      10        0.055752
19980430      10        0.026445
19980529      10       -0.044867
19980630      10       -0.046652
19980731      10       -0.060271
19980831      10       -0.203424
19980930      10        0.014869
19981030      10        0.025033
19981130      10        0.079144
19981231      10        0.000204
19990129      10        0.071178
19990226      10       -0.054932
19990331      10       -0.033678
19990430      10        0.072808
19990528      10        0.040646
19990630      10        0.027016
19990730      10        0.023021
19990831      10       -0.024424
19990930      10       -0.027344
19991029      10       -0.017797
19991130      10        0.097138
19991231      10        0.089689
20000131      10        0.073146
20000229      10        0.138943
20000331      10       -0.041013
20000428      10       -0.074327
20000531      10       -0.047528
20000630      10        0.039100
20000731      10       -0.009233
20000831      10        0.040553
20000929      10       -0.023430
20001031      10       -0.071231
20001130      10       -0.103268
20001229      10       -0.038043
20010131      10        0.311707
20010228      10       -0.098546
20010330      10       -0.060622
20010430      10        0.056281
20010531      10        0.068933
20010629      10        0.003040
20010731      10       -0.007223
20010831      10       -0.030807
20010928      10       -0.112574
20011031      10        0.090633
20011130      10        0.081326
20011231      10        0.075458
20020131      10        0.040474
20020228      10       -0.044061
20020328      10        0.076678
20020430      10        0.003675
20020531      10       -0.007787
20020628      10       -0.056021
20020731      10       -0.108923
20020830      10       -0.004822
20020930      10       -0.076053
20021031      10        0.050950
20021129      10        0.145436
20021231      10       -0.048711
20030131      10        0.012656
20030228      10       -0.025147
20030331      10        0.011843
20030430      10        0.107547
20030530      10        0.161649
20030630      10        0.066493
20030731      10        0.088533
20030829      10        0.046833
20030930      10        0.041670
20031031      10        0.085555
20031128      10        0.045376
20031231      10        0.040823
20040130      10        0.081799
20040227      10        0.010256
20040331      10        0.003804
20040430      10       -0.035340
20040528      10       -0.011441
20040630      10        0.019931
20040730      10       -0.067735
20040831      10       -0.011784
20040930      10        0.039965
20041029      10        0.012989
20041130      10        0.079811
20041231      10        0.063563
20050131      10       -0.036172
20050228      10        0.006619
20050331      10       -0.038807
20050429      10       -0.060227
20050531      10        0.043403
20050630      10        0.046834
20050729      10        0.078122
20050831      10       -0.004204
20050930      10        0.014681
20051031      10       -0.029714
20051130      10        0.029241
20051230      10        0.015576
20060131      10        0.086199
20060228      10        0.008363
20060331      10        0.049799
20060428      10        0.005213
20060531      10       -0.045879
20060630      10       -0.010152
20060731      10       -0.032173
20060831      10        0.021994
20060929      10        0.005239
20061031      10        0.049253
20061130      10        0.026953
20061229      10        0.024205
20070131      10        0.016396
20070228      10       -0.001995
20070330      10        0.000635
20070430      10        0.022128
20070531      10        0.019580
20070629      10       -0.005526
20070731      10       -0.059007
20070831      10       -0.019420
20070928      10        0.020845
20071031      10        0.002480
20071130      10       -0.087653
20071231      10       -0.007273
20080131      10       -0.049946
20080229      10       -0.027850
20080331      10       -0.027466
20080430      10        0.011691
20080530      10        0.023460
20080630      10       -0.088121
20080731      10        0.019489
20080829      10        0.030490
20080930      10       -0.094634
20081031      10       -0.232115
20081128      10       -0.169012
20081231      10        0.021658
20090130      10       -0.036752
20090227      10       -0.121569
20090331      10        0.106225
20090430      10        0.250038
20090529      10        0.141380
20090630      10        0.054089
20090731      10        0.107815
20090831      10        0.080581
20090930      10        0.072239
20091030      10       -0.075074
20091130      10        0.010398
20091231      10        0.075438
20100129      10       -0.004111
20100226      10        0.040673
20100331      10        0.084015
20100430      10        0.094822
20100528      10       -0.087239
20100630      10       -0.080475
20100730      10        0.057834
20100831      10       -0.086733
20100930      10        0.109890
20101029      10        0.042151
20101130      10        0.023797
20101231      10        0.096194
20110131      10       -0.002642
20110228      10        0.044714
20110331      10        0.001015
20110429      10        0.011664
20110531      10       -0.027635
20110630      10       -0.024262
20110729      10       -0.022880
20110831      10       -0.106367
20110930      10       -0.108529
20111031      10        0.112662
20111130      10       -0.030931
20111230      10        0.023613
20120131      10        0.099051
20120229      10        0.027942
20120330      10        0.042409
20120430      10       -0.015521
20120531      10       -0.063443
20120629      10        0.062553
20120731      10       -0.014346
20120831      10        0.026012
20120928      10        0.052364
20121031      10       -0.029209
20121130      10       -0.008803
20121231      10        0.028061
